frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
300,10.025,-8.425,1.422,-0.2204,0.9977,102,7.505,76.61,109.2,53.54
301,10.058,-8.159,1.383,-0.222,0.9976,98,7.368,73.38,108.21,53.62
302,10.092,-8.41,0.472,-0.2256,0.9996,90,7.19,70.81,107.62,53.36
303,10.125,-7.672,1.082,-0.1998,0.9979,97,7.211,73.86,107.25,53.29
304,10.158,-7.461,1.108,-0.1986,0.9975,99,6.974,87.84,106.61,52.97
305,10.192,-7.495,0.769,-0.2093,0.9982,93,7.389,102.58,106.88,52.19
306,10.225,-6.994,0.704,-0.163,0.9979,101,6.657,104.16,106.21,52.16
307,10.259,-7.026,0.475,-0.1911,0.9986,97,6.564,100.8,105.79,52.14
308,10.292,-6.657,0.898,-0.1671,0.9977,95,6.636,100.31,105.63,51.98
309,10.325,-6.742,0.827,-0.1732,0.9981,85,6.661,97.81,105.71,51.14
310,10.359,-6.516,0.988,-0.1626,0.9978,80,6.286,110.19,105.38,50.86
